num_samples,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
0,0.5558333333333334,0.11623730516108463,0.45178571428571423,0.24895188454062067,0.8,0.4,0.5713545713545714,0.29995173235904726
100,0.725,0.24238399287081644,0.775,0.27838821814150105,0.9236363636363636,0.09370253619436453,0.8002020202020201,0.16761395927226408
400,0.8241666666666667,0.2600534133169141,0.8,0.4,0.735,0.37536648758246915,0.7644444444444444,0.38454077149019145
700,0.9875,0.024999999999999998,1.0,0.0,0.9818181818181818,0.036363636363636376,0.9904761904761905,0.019047619047619067
1000,0.775,0.2391390808713624,0.8,0.257390753524675,0.9568181818181818,0.05397428221380872,0.84007992007992,0.16655681700256053
1300,0.9475,0.0776208734813001,1.0,0.0,0.9068181818181819,0.14524132098791326,0.9443223443223443,0.08946731789560887
1600,0.7625,0.2692582403567252,0.675,0.4153311931459037,0.7818181818181819,0.392491511725871,0.6995670995670995,0.3892504349725132
1900,0.7625,0.2968585521759479,0.7,0.4,0.8,0.4,0.7333333333333333,0.38873012632302
2200,0.9875,0.024999999999999998,1.0,0.0,0.9818181818181818,0.036363636363636376,0.9904761904761905,0.019047619047619067
2500,0.7375,0.3072051431861127,0.65,0.43588989435406733,0.6818181818181819,0.38783143650366436,0.6571428571428571,0.4144772408950275
